day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
Fr,9/15/2023,96.04,2.497,0.2683,904,23.0658,1913.67,34500.73,13748.83,4451.14
Th,9/14/2023,94.53,2.56,0.264,912.93,23.0785,1922.3,34443.19,13872.47,4465.48
We,9/13/2023,94.58,2.632,0.2631,903.94,22.9266,1919.08,34641.97,14020.95,4496.83
Tu,9/12/2023,93.2,2.551,0.2668,896.6,22.9682,1919.68,34837.71,14031.81,4515.77
Mo,9/11/2023,92.45,2.621,0.2622,909.22,23.1683,1916.56,34721.91,14034.97,4507.66
Fr,9/8/2023,91.6,2.592,0.2665,914.1,23.5416,1926.12,34890.24,14019.31,4514.87
Th,9/7/2023,91.75,2.659,0.2581,931.93,23.9915,1942.69,34852.67,13943.76,4497.63
We,9/6/2023,91.22,2.795,0.2581,957.33,24.188,1940.06,34559.98,13705.13,4433.31
Tu,9/5/2023,90.45,2.77,0.2506,963.85,24.443,1940.19,34346.9,13590.65,4405.71
Mo,9/4/2023,90.48,2.763,0.2534,971.89,24.6156,1942.32,34099.42,13463.97,4376.31
Fr,9/1/2023,88.67,2.959,0.2545,979.85,24.7237,1937.54,34472.98,13721.03,4436.01
Th,8/31/2023,87.15,2.777,0.2557,982.68,24.23,1920.17,34288.83,13505.87,4387.55
We,8/30/2023,86.7,2.725,0.2483,971.55,24.226,1914.96,34463.69,13497.59,4399.77
Tu,8/29/2023,85.81,2.577,0.2429,948.43,24.1225,1916.91,34500.66,13290.78,4369.71
Mo,8/28/2023,86.49,2.565,0.2385,938.16,24.3108,1915.48,34474.83,13316.93,4370.36
Fr,8/25/2023,86.32,2.477,0.234,933.04,23.4065,1897.48,34765.74,13474.63,4404.33
Th,8/24/2023,85.19,2.634,0.234,925.08,23.307,1894.93,34946.39,13631.05,4437.86
We,8/23/2023,85.03,2.638,0.2376,915.35,22.75,1889.31,35307.63,13788.33,4489.72
Tu,8/22/2023,86.06,2.665,0.24,914.58,22.6928,1889.43,35281.4,13644.85,4464.05
Mo,8/21/2023,87.3,2.73,0.2419,896.89,22.415,1891.81,35176.15,13721.03,4468.83
Fr,8/18/2023,85.51,2.685,0.2377,887.57,22.5286,1902,35123.36,13705.08,4467.71
Th,8/17/2023,85.1,2.713,0.2405,892.53,22.6,1907.1,35314.49,13867.19,4499.38
We,8/16/2023,86.36,2.757,0.2433,904.55,22.6857,1913.76,35473.13,13977.12,4518.44
Tu,8/15/2023,87.68,2.603,0.2395,916.07,22.7043,1912.48,35065.62,13892.07,4478.03
Mo,8/14/2023,88.16,2.629,0.2371,910.57,22.6632,1914.46,35215.89,13959.71,4501.89
Fr,8/11/2023,87.6,2.512,0.2345,892.62,22.782,1925.24,35282.52,13973.45,4513.39
Th,8/10/2023,89.5,2.539,0.2374,904.88,23.1341,1936.56,35630.68,14283.91,4576.73
We,8/9/2023,89.16,2.545,0.2369,924.33,23.6345,1942.91,35559.53,14346.02,4588.96
Tu,8/8/2023,86.26,2.731,0.2402,925.95,23.5708,1934.06,35459.29,14316.66,4582.23
Mo,8/7/2023,87.58,2.669,0.242,917.82,23.7167,1934.45,35282.72,14050.11,4537.41
Fr,8/4/2023,86.87,2.609,0.2439,923.27,24.305,1944.29,35520.12,14127.28,4566.75
Th,8/3/2023,83.92,2.657,0.2411,934.06,24.7465,1965.09,35438.07,14144.56,4567.46
We,8/2/2023,86.45,2.709,0.2392,954.39,24.3443,1959.49,35411.24,14058.87,4554.64
Tu,8/1/2023,85.77,2.798,0.2443,938.64,24.1355,1946,35227.69,14032.81,4536.34
Mo,7/31/2023,85.59,2.701,0.2439,937.52,24.9307,1972.07,35225.18,14063.31,4534.87
Fr,7/28/2023,84.74,2.791,0.2469,967.27,24.6893,1964.96,35061.21,14358.02,4565.72
Th,7/27/2023,84.33,2.729,0.2492,971.08,24.3477,1954.73,34951.93,14353.64,4554.98
We,7/26/2023,83.9,2.597,0.2501,961.15,24.6133,1961.94,34585.35,14244.95,4522.79
Tu,7/25/2023,83.64,2.533,0.2467,965.84,24.7605,1969.53,34509.03,14113.7,4505.42
Mo,7/24/2023,82.53,2.342,0.2421,959.96,25.1452,1976.64,34395.14,14138.57,4510.04
Fr,7/21/2023,81.69,2.34,0.2386,975.99,25.0558,1978.72,34347.43,13918.96,4472.16
Th,7/20/2023,80.56,2.266,0.238,986.4,24.8414,1955.04,34261.42,13760.7,4439.26
We,7/19/2023,81.06,2.254,0.2432,979.93,24.9497,1955.21,33944.4,13685.48,4409.53
Tu,7/18/2023,79.64,2.352,0.2401,976.24,24.88,1960.51,33734.88,13660.72,4398.95
Mo,7/17/2023,80.13,2.329,0.2391,977.06,24.1225,1957.35,33922.26,13679.04,4411.59
Fr,7/14/2023,81.84,2.262,0.2353,954.5,23.1222,1932.23,34288.64,13791.65,4446.82
Th,7/13/2023,80.76,2.245,0.2344,928.85,23.13,1925.35,34418.47,13816.77,4455.59
We,7/12/2023,79.89,2.172,0.2353,931.49,23.0888,1925.05,34407.6,13787.92,4450.38
Tu,7/11/2023,78.42,2.158,0.2325,913.87,22.72,1910.9,34122.42,13591.33,4396.44
Mo,7/10/2023,78.63,2.327,0.2353,906.14,23.1087,1915.3,33852.66,13591.75,4376.86
Fr,7/7/2023,77.57,2.181,0.2332,920.07,22.9667,1925.48,33926.74,13555.67,4378.41
Th,7/6/2023,77.14,2.307,0.2332,919.74,22.9193,1921.64,33714.71,13335.78,4328.82
We,7/5/2023,75.87,2.398,0.2289,914.06,22.7747,1919.35,33727.43,13492.52,4348.33
Tu,7/4/2023,75.41,2.321,0.2207,906.3,22.5645,1908.2,33946.71,13630.61,4381.89
Mo,7/3/2023,76.22,2.4,0.2257,898.96,22.6975,1907.32,33951.52,13502.2,4365.69
Fr,6/30/2023,76.05,2.365,0.2303,915.04,22.8595,1913.69,34053.87,13667.29,4388.71
Th,6/29/2023,75.48,2.376,0.2372,926.96,22.7905,1923.26,34299.12,13689.57,4409.59
We,6/28/2023,74.45,2.375,0.2418,927.95,22.428,1921.2,34408.06,13782.82,4425.84
Tu,6/27/2023,74.72,2.19,0.2493,921.7,22.245,1914.01,33979.33,13626.48,4372.59
Mo,6/26/2023,74.6,2.191,0.2588,925.28,22.6364,1932.55,34212.12,13573.32,4369.01
Fr,6/23/2023,73.52,2.267,0.2622,946.06,23.134,1936.42,34066.33,13461.92,4338.93
Th,6/22/2023,76.66,2.238,0.2643,964.4,23.9528,1950.48,33876.78,13259.14,4298.86
We,6/21/2023,76.35,2.137,0.2643,978.69,24.2,1957.98,33833.61,13238.52,4293.93
Tu,6/20/2023,76.52,2.101,0.26,986.84,23.8607,1958.01,33665.02,13104.89,4267.52
Mo,6/19/2023,75.94,2.17,0.2584,992.09,23.9191,1942.52,33573.28,13276.42,4283.85
Fr,6/16/2023,74.84,2.214,0.2516,981.14,23.666,1943.74,33562.86,13229.43,4273.79
Th,6/15/2023,73.31,2.318,0.2547,981.13,24.0531,1957.84,33762.76,13240.77,4282.37
We,6/14/2023,74.65,2.41,0.2538,995.21,24.293,1961.19,33061.57,13100.98,4221.02
Tu,6/13/2023,71.97,2.355,0.2548,1011.7,24.2377,1965.46,32908.27,12935.29,4179.83
Mo,6/12/2023,72.24,2.117,0.245,1014.72,23.4181,1940.02,33042.78,13017.43,4205.52
Fr,6/9/2023,75.36,2.273,0.2458,1021.91,23.5682,1963.52,33093.34,12975.69,4205.45
Th,6/8/2023,75.9,2.233,0.244,1037.47,23.545,1961.86,32764.65,12698.09,4151.28
We,6/7/2023,75.3,2.249,0.2473,1032.78,23.606,1947.97,32799.92,12484.16,4115.24
Tu,6/6/2023,74.47,2.222,0.2488,1007.95,23.858,1977.61,33055.51,12560.25,4145.58
Mo,6/5/2023,75.73,2.366,0.2506,1009.71,23.4858,1962.73,33286.58,12720.78,4192.63
Fr,6/2/2023,73.71,2.275,0.2533,998.42,23.1749,1959.33,33426.63,12657.9,4191.98
Th,6/1/2023,70.87,2.114,0.2535,1024.31,23.1843,1943.19,33535.91,12688.84,4198.05
We,5/31/2023,72.09,2.007,0.2537,1028.65,23.301,1946.46,33420.77,12500.57,4158.77
Tu,5/30/2023,74.44,2.093,0.2483,1026.37,22.7405,1941.41,33012.14,12343.05,4109.9
Mo,5/29/2023,75.74,2.186,0.2549,1025.52,23.056,1957.16,33348.6,12365.21,4136.28
Fr,5/26/2023,75.29,2.011,0.2581,1028,23.4491,1975.23,33300.62,12284.74,4124.08
Th,5/25/2023,76.23,2.155,0.2599,1056.08,23.6275,1971.86,33309.51,12328.51,4130.62
We,5/24/2023,76.91,2.106,0.2578,1070.42,23.8525,1977.81,33531.33,12306.44,4137.64
